Date,Open,High,Low,Close,Volume,Volume_ratio_vs_5days,Announcement,hawkish_dovish_ratio,net_sentiment_score,negative_proportion,neutral_proportion,positive_proportion,sentiment_label
04/09/2018,2896.719970703125,2900.179931640625,2885.1298828125,2896.9599609375,3087420000,1.0811520634693852,0,0.0,0.0,0.0,0.0,0.0,
05/09/2018,2888.60009765625,2894.2099609375,2876.919921875,2891.590087890625,3248780000,1.094647421491045,0,0.0,0.0,0.0,0.0,0.0,
06/09/2018,2878.050048828125,2892.050048828125,2867.2900390625,2888.639892578125,3144240000,1.0357811348053216,0,0.0,0.0,0.0,0.0,0.0,
07/09/2018,2871.679931640625,2883.81005859375,2864.1201171875,2868.260009765625,2976580000,0.9699339947758898,0,0.0,0.0,0.0,0.0,0.0,
10/09/2018,2877.1298828125,2886.929931640625,2875.93994140625,2881.389892578125,2751100000,0.9044839204319798,0,0.0,0.0,0.0,0.0,0.0,
11/09/2018,2887.889892578125,2892.52001953125,2866.780029296875,2871.570068359375,2904500000,0.9665428746372761,0,0.0,0.0,0.0,0.0,0.0,
12/09/2018,2888.919921875,2894.64990234375,2879.199951171875,2888.2900390625,3341280000,1.1050887370433333,0,0.0,0.0,0.0,0.0,0.0,
13/09/2018,2904.179931640625,2906.760009765625,2896.389892578125,2896.85009765625,3274090000,1.0736446183157293,0,0.0,0.0,0.0,0.0,0.0,
14/09/2018,2904.97998046875,2908.300048828125,2895.77001953125,2906.3798828125,3179410000,1.0289099685574077,0,0.0,0.0,0.0,0.0,0.0,
17/09/2018,2888.800048828125,2904.64990234375,2886.159912109375,2903.830078125,2967980000,0.9471917872046548,0,0.0,0.0,0.0,0.0,0.0,
